rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,CorrelationRemover,,,,0.5,PCA,6,,9.298324584960938e-06,already_evaluated,0.2774050235748291,0.13_0.13_0.12_0.16_0.12,0.73_0.72_0.73_0.73_0.72,0.12175302505493164,0.13135657839586187,0.57,0.13,0.38,0.26,1.0,0.5,0.7271813546292982,1746715447.4704661,distance,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,False,,True,,StandardScaler,LFR_wrapper,0.1,100,0.1,,FunctionTransformer,,,6.9141387939453125e-06,already_evaluated,0.023354864120483397,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.694377708435058,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746715447.5407577,,MLPClassifier,sgd,5,,1,,,,,,,constant,,,0.0001,logistic
FunctionTransformer,,,features_rebalancing_mitigation_normalization_classification,True,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,8.106231689453125e-06,already_evaluated,0.010067272186279296,0.0_0.0_0.0_0.0_0.0,0.59_0.57_0.61_0.6_0.59,0.08101491928100586,0.0,0.62,0.0,0.28,0.0,0.81,0.0,0.5912375138056818,1746715447.6099179,,RandomForestClassifier,,,,,10,4,,4,2,3,,gini,True,,
NearMiss,3,,mitigation_rebalancing_normalization_features_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,1.0,,SelectKBest,,9,8.821487426757812e-06,already_evaluated,0.028994131088256835,0.73_0.38_0.55_0.58_0.5,0.51_0.51_0.5_0.51_0.51,3.890629243850708,0.5489175776735997,0.82,0.88,0.68,0.9,0.7,0.65,0.5082569897256978,1746715447.6816661,,RandomForestClassifier,,,,,10,4,,2,1,3,,entropy,True,,
FunctionTransformer,,,rebalancing_mitigation_features_normalization_classification,False,,True,,StandardScaler,LFR_wrapper,0.5,10,1.0,,SelectKBest,,8,1.3113021850585938e-05,already_evaluated,2.0201723098754885,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,4.8840679168701175,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746715447.7575207,distance,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_features_normalization_classification,,True,,True,RobustScaler,CorrelationRemover,,,,0.25,PCA,4,,8.106231689453125e-06,already_evaluated,0.0360015869140625,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,8.250625801086425,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746715447.8323917,,RandomForestClassifier,,,,,100,4,,6,4,3,,entropy,False,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,9.775161743164062e-06,already_evaluated,0.029368782043457033,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.247089385986328,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746715447.9085488,,RandomForestClassifier,,,,,50,4,,2,1,1,,gini,True,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,False,,False,,StandardScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,8.58306884765625e-06,already_evaluated,0.0456202507019043,0.67_0.49_0.71_0.65_0.62,0.52_0.53_0.53_0.52_0.53,0.15151495933532716,0.6266608154352676,0.74,0.66,0.92,0.77,0.77,0.78,0.5265508757156315,1746715447.9838808,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,
NearMiss,3,,rebalancing_mitigation_normalization_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.5,200,1.0,,PCA,7,,8.106231689453125e-06,already_evaluated,0.046381807327270506,0.52_0.42_0.59_0.31_0.36,0.48_0.49_0.48_0.5_0.49,2.9236238956451417,0.44057019865688585,0.58,0.53,0.73,0.46,0.7,0.84,0.4880718062679808,1746715448.0629277,,RandomForestClassifier,,,,,100,3,,6,2,4,,entropy,True,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,,,,,PowerTransformer,LFR_wrapper,0.5,200,2.0,,PCA,1,,6.198883056640625e-06,already_evaluated,1.5575151920318604,0.17_nan_nan_0.0_nan,0.49_0.5_0.5_0.5_0.5,4.165782785415649,-inf,0.53,0.46,0.25,0.24,0.15,0.04,0.4985235890531988,1746715448.1357849,uniform,KNeighborsClassifier,,,3,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_rebalancing_normalization_classification,True,,False,,StandardScaler,LFR_wrapper,0.1,100,0.5,,FunctionTransformer,,,5.7220458984375e-06,already_evaluated,0.026909732818603517,0.42_0.56_0.81_0.33_0.24,0.52_0.5_0.51_0.51_0.49,4.2725182056427,0.47226349194406547,0.64,0.66,0.56,0.67,0.79,0.84,0.5069376824945392,1746715448.20864,,RandomForestClassifier,,,,,25,2,,5,1,2,,entropy,True,,
SMOTE,,5,features_rebalancing_mitigation_normalization_classification,True,,True,,StandardScaler,LFR_wrapper,2.0,50,0.1,,FunctionTransformer,,,1.239776611328125e-05,already_evaluated,0.052174854278564456,0.58_0.48_0.69_0.75_0.59,0.53_0.51_0.51_0.5_0.5,8.476013135910033,0.6169077068885265,0.84,0.85,0.74,0.88,0.8,0.83,0.5112552537740667,1746715448.2875094,,MLPClassifier,lbfgs,5,,10,,,,,,,constant,,,0.0001,logistic
NearMiss,2,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,1.0,200,0.1,,SelectKBest,,7,6.67572021484375e-06,already_evaluated,1.3604880809783935,nan_nan_nan_0.0_nan,0.5_0.5_0.5_0.5_0.5,3.861736536026001,-inf,0.08,0.5,0.0,0.0,0.0,0.0,0.5000299467528805,1746715448.3650148,uniform,KNeighborsClassifier,,,15,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.1,10,0.1,,PCA,4,,7.152557373046875e-06,already_evaluated,0.031348371505737306,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.0057064056396485,-inf,1.0,0.0,0.0,0.0,0.0,0.0,0.49998499399759905,1746715448.4398382,,RandomForestClassifier,,,,,50,6,,5,1,3,,gini,False,,
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,True,,True,,StandardScaler,CorrelationRemover,,,,1.0,FunctionTransformer,,,6.67572021484375e-06,already_evaluated,2.8926234245300293,0.01_0.04_0.05_0.05_0.06,0.76_0.77_0.77_0.77_0.77,0.072822904586792,0.044421440315256536,0.71,0.15,0.26,0.05,0.97,0.12,0.7691635626182125,1746715448.5187001,uniform,KNeighborsClassifier,,,15,,,,manhattan,,,,,,,,
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,1.0728836059570312e-05,already_evaluated,0.025673866271972656,0.23_0.24_0.23_0.29_0.2,0.66_0.68_0.67_0.66_0.66,1.761369228363037,0.23868518855540244,0.37,0.24,0.45,0.32,0.95,0.79,0.6658849204631444,1746715448.602182,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
SMOTE,,5,rebalancing_mitigation_normalization_features_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,SelectKBest,,9,30.261762380599976,success,0.037308359146118165,0.53_0.39_0.63_0.48_0.37,0.53_0.51_0.5_0.5_0.5,5.500173091888428,0.47810865105464906,0.77,0.8,0.65,0.85,0.7,0.63,0.5092246314256463,1746715480.0296662,,RandomForestClassifier,,,,,10,5,,3,3,1,,gini,False,,
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,1.0,PCA,4,,11.426381349563599,success,0.3832277297973633,0.28_0.25_0.23_0.25_0.28,0.62_0.67_0.66_0.67_0.66,1.4222023010253906,0.25716059646640593,0.27,0.28,0.65,0.55,0.9,0.89,0.6566190094118584,1746715491.5484169,uniform,KNeighborsClassifier,,,6,,,,manhattan,,,,,,,,
NearMiss,2,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,3,,546.0718581676483,success,0.18454408645629883,0.3_0.34_0.34_0.44_0.38,0.74_0.74_0.74_0.73_0.73,108.73481574058533,0.35907718063609295,0.6,0.36,0.64,0.55,0.71,0.87,0.7365542547385207,1746716037.7107704,,MLPClassifier,lbfgs,50,,20,,,,,,,adaptive,,,0.0001,relu
NearMiss,4,,mitigation_normalization_rebalancing_features_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,PCA,8,,10.70583724975586,success,0.011577939987182618,0.06_0.15_0.09_0.3_0.08,0.66_0.67_0.65_0.66_0.65,2.0276471614837646,0.13730046928796508,0.2,0.15,0.86,0.33,0.98,0.92,0.6571359962338099,1746716048.5666592,,RandomForestClassifier,,,,,10,4,,4,4,3,,gini,False,,
FunctionTransformer,,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,50,1.0,,FunctionTransformer,,,67.98624515533447,fail,0.15888557434082032,nan_0.0_nan_nan_nan,0.5_0.52_0.5_0.5_0.5,13.181012058258057,-inf,0.21,0.43,0.0,0.57,0.53,1.0,0.504200341264434,1746716116.6444094,,MLPClassifier,lbfgs,10,,20,,,,,,,adaptive,,,0.0001,relu
NearMiss,1,,mitigation_rebalancing_features_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,10,12.688931226730347,success,1.1102221488952637,0.2_0.12_0.17_0.23_0.2,0.78_0.78_0.79_0.79_0.77,0.16064109802246093,0.18350159245701364,0.39,0.2,0.79,0.19,0.95,0.74,0.7817843261847427,1746716129.4400866,uniform,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,7,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.5,PCA,5,,5.696242332458496,success,0.43656282424926757,0.15_0.22_0.15_0.25_0.22,0.74_0.73_0.74_0.74_0.73,0.14059271812438964,0.19633784941239624,0.68,0.23,0.41,0.22,0.93,0.69,0.7352567847270629,1746716135.2256997,uniform,KNeighborsClassifier,,,19,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_features_normalization_rebalancing_classification,,False,,False,RobustScaler,CorrelationRemover,,,,0.25,FunctionTransformer,,,6.484407901763916,success,0.027698469161987305,0.0_0.0_0.0_0.0_0.0,0.64_0.64_0.66_0.63_0.64,1.1488243103027345,0.0,0.3,0.0,0.17,0.0,1.0,0.0,0.6431124845083045,1746716141.8106573,,RandomForestClassifier,,,,,100,4,,3,4,3,,gini,False,,
SMOTE,,6,mitigation_features_normalization_rebalancing_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.75,SelectKBest,,9,11.76781439781189,success,0.9698017597198486,0.14_0.13_0.12_0.15_0.13,0.74_0.77_0.76_0.77_0.77,0.3230401039123535,0.13266404309975238,0.39,0.13,0.36,0.19,0.99,0.45,0.7630401791915643,1746716154.6142254,uniform,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,
FunctionTransformer,,,mitigation_rebalancing_normalization_features_classification,True,,True,,StandardScaler,LFR_wrapper,0.5,100,1.0,,SelectKBest,,6,36.7246367931366,fail,0.023810386657714844,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,2.2540391445159913,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716191.424856,,MLPClassifier,sgd,25,,1,,,,,,,constant,,,0.0001,tanh
FunctionTransformer,,,rebalancing_mitigation_normalization_features_classification,,,,,FunctionTransformer,LFR_wrapper,0.5,10,0.5,,FunctionTransformer,,,16.460963487625122,fail,0.039395809173583984,nan_nan_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,3.1253687381744384,-inf,-inf,-inf,-inf,-inf,-inf,-inf,0.5,1746716207.973277,,RandomForestClassifier,,,,,100,4,,2,1,3,,gini,True,,
NearMiss,4,,rebalancing_features_mitigation_normalization_classification,,,,,MinMaxScaler,LFR_wrapper,0.1,10,0.1,,FunctionTransformer,,,155.228280544281,success,0.18700847625732422,0.48_0.41_0.53_0.31_0.42,0.48_0.49_0.49_0.5_0.49,30.54524221420288,0.430346709508138,0.59,0.54,0.78,0.45,0.72,0.84,0.48948698033161353,1746716363.2982106,,MLPClassifier,lbfgs,50,,10,,,,,,,invscaling,,,0.001,relu
