rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,mitigation__type,mitigation__reconstruct_weight,mitigation__n_prototypes,mitigation__fairness_weight,mitigation__alpha,features__type,features__n_components,features__k,eval__total_time,eval__status,eval__score_time,eval__flatten_demographic_parity_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__demographic_parity_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__balanced_accuracy,eval__absolute_time,classification__weights,classification__type,classification__solver,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__criterion,classification__bootstrap,classification__alpha,classification__activation
NearMiss,1,,mitigation_features_normalization_rebalancing_classification,,True,,False,RobustScaler,LFR_wrapper,1.0,10,1.0,,SelectKBest,,5,30.147565841674805,fail,0.03545823097229004,0.61_nan_0.68_0.68_0.62,0.53_0.5_0.52_0.5_0.5,5.184994840621949,-inf,0.82,0.86,0.66,0.82,0.94,0.94,0.5096514780595108,1746700212.836284,,RandomForestClassifier,,,,,100,6,,5,1,1,,entropy,False,,
NearMiss,1,,normalization_mitigation_features_rebalancing_classification,,,,,FunctionTransformer,CorrelationRemover,,,,0.5,SelectKBest,,6,3.375434398651123,success,0.1880040168762207,0.14_0.17_0.2_0.19_0.17,0.65_0.66_0.65_0.67_0.66,0.23982372283935546,0.17418499286369477,0.25,0.17,0.56,0.33,1.0,0.88,0.656348551170668,1746700182.6300397,distance,KNeighborsClassifier,,,16,,,,minkowski,,,,,,,,
SMOTE,,6,mitigation_rebalancing_normalization_features_classification,,True,,False,RobustScaler,LFR_wrapper,0.5,10,0.5,,PCA,7,,24.764809608459473,success,0.028529882431030273,0.34_0.14_0.69_0.75_0.74,0.51_0.5_0.51_0.51_0.51,4.842411899566651,0.5322501935397144,0.84,0.86,0.56,0.79,0.92,0.73,0.5084827440909512,1746700179.1958582,,RandomForestClassifier,,,,,25,4,,5,4,5,,gini,True,,
NearMiss,4,,mitigation_rebalancing_features_normalization_classification,,False,,False,RobustScaler,LFR_wrapper,1.0,10,0.1,,FunctionTransformer,,,28.96405291557312,success,0.03937554359436035,0.41_0.76_0.63_0.55_0.62,0.52_0.51_0.51_0.5_0.51,5.6597754001617435,0.5941660873613155,0.85,0.86,0.74,0.89,0.83,0.79,0.5111778490780583,1746700154.3696692,,RandomForestClassifier,,,,,100,4,,3,4,5,,entropy,True,,
NearMiss,1,,normalization_features_mitigation_rebalancing_classification,,,,,PowerTransformer,LFR_wrapper,0.1,50,0.5,,FunctionTransformer,,,22.439799547195435,success,0.04054269790649414,0.48_0.5_0.13_0.66_0.78,0.47_0.61_0.73_0.51_0.51,4.357235670089722,0.5079201560946754,0.75,0.77,0.65,0.73,0.84,0.82,0.5658865696099732,1746700125.348165,,RandomForestClassifier,,,,,50,2,,6,4,5,,gini,False,,
NearMiss,2,,normalization_rebalancing_mitigation_features_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,50,0.5,,PCA,4,,107.19625949859619,success,0.039818620681762694,0.62_0.6_0.88_0.63_0.38,0.6_0.64_0.6_0.63_0.5,21.30926671028137,0.6226683990225281,0.85,0.84,0.79,0.86,0.84,0.73,0.5938565737943085,1746700102.8509462,,RandomForestClassifier,,,,,75,3,,4,4,5,,entropy,False,,
SMOTE,,7,mitigation_rebalancing_features_normalization_classification,True,,True,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,5,113.8990912437439,success,0.029908466339111327,0.2_0.16_0.18_0.25_0.16,0.79_0.78_0.78_0.8_0.79,22.660887575149538,0.18872288298459836,0.87,0.26,0.54,0.19,1.0,0.43,0.7880539368087296,1746699994.8402822,,MLPClassifier,lbfgs,10,,1,,,,,,,adaptive,,,0.001,logistic
NearMiss,1,,mitigation_features_rebalancing_normalization_classification,,,,,MinMaxScaler,CorrelationRemover,,,,0.25,PCA,5,,8.775899171829224,success,0.02216496467590332,0.23_0.24_0.23_0.28_0.21,0.66_0.68_0.67_0.66_0.66,1.6565106391906739,0.2376712353162509,0.5,0.24,0.47,0.3,1.0,0.79,0.6658849204631444,1746699880.888111,,RandomForestClassifier,,,,,75,2,,4,3,5,,entropy,True,,
NearMiss,3,,normalization_features_rebalancing_mitigation_classification,,,,,FunctionTransformer,CorrelationRemover,,,,1.0,FunctionTransformer,,,4.387317419052124,success,0.33612747192382814,0.35_0.34_0.34_0.4_0.36,0.52_0.53_0.52_0.52_0.53,0.15294432640075684,0.35676051252314805,0.56,0.36,0.99,0.66,0.97,0.81,0.520965370664285,1746699872.0597296,uniform,KNeighborsClassifier,,,6,,,,minkowski,,,,,,,,
FunctionTransformer,,,rebalancing_normalization_mitigation_features_classification,False,,False,,StandardScaler,FunctionTransformer,,,,,SelectKBest,,3,5.837490081787109,success,0.5419699192047119,0.12_0.07_0.08_0.14_0.23,0.61_0.74_0.75_0.69_0.63,0.029987144470214843,0.12940059412643748,0.73,0.24,0.43,0.13,1.0,0.34,0.6852705800677538,1746699867.6195748,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,
SMOTE,,6,normalization_mitigation_features_rebalancing_classification,,True,,True,RobustScaler,LFR_wrapper,0.1,200,0.1,,FunctionTransformer,,,110.9963927268982,success,0.03749790191650391,0.44_0.68_0.06_0.25_0.1,0.67_0.6_0.7_0.73_0.73,22.072586393356325,0.3058025604297844,0.98,0.5,0.8,0.44,0.73,0.37,0.6870577813477474,1746699861.7311437,,RandomForestClassifier,,,,,50,5,,4,4,2,,entropy,False,,
